Department,text,Subtype
Commercial Taxes and Registration Department (CTREG),Property Registration Delay issue,Property Registration Delay
Special Programme Implementation (SPI),Problem faced: scheme monitoring.,Scheme Monitoring
Revenue and Disaster Management Department (REV),Complaint against REV for patta / chitta transfer.,Patta / Chitta Transfer
Industries Department (IND),Factory Closure Notice,Factory Closure Notice
Environment Climate Change and Forests Department (ENVFOR),Industrial Pollution issue,Industrial Pollution
Information Technology Department (IT),Complaint against IT for broadband connectivity infrastructure.,Broadband Connectivity Infrastructure
BC MBC and Minorities Welfare Department (BCMBC),Complaint regarding Narikkuravar Welfare Board,Narikkuravar Welfare Board
Micro Small and Medium Enterprises Department (MSME),MUDRA Loan Rejection issue,MUDRA Loan Rejection
Special Programme Implementation (SPI),Urgent action needed on flagship project delay.,Flagship Project Delay
Commercial Taxes and Registration Department (CTREG),Urgent action needed on property registration delay.,Property Registration Delay
Tamil Dev. and Information Department (TAMINF),Requesting help with tamil book publication.,Tamil Book Publication
Commercial Taxes and Registration Department (CTREG),Report on property registration delay.,Property Registration Delay
Labour Welfare and Skill Development Department (LBREMP),I have a complaint regarding skill training application.,Skill Training Application
Labour Welfare and Skill Development Department (LBREMP),Construction Workers Board issue,Construction Workers Board
BC MBC and Minorities Welfare Department (BCMBC),Requesting help with ulema pension scheme.,Ulema Pension Scheme
Tourism Culture and Religious Endowments Department (TOURCUL),I have a complaint regarding heritage site protection.,Heritage Site Protection
Highways and Minor Ports Department (HWY),Complaint against HWY for bridge construction delay.,Bridge Construction Delay
Public Elections Department (ELECTION),My grievance is about polling booth complaint.,Polling Booth Complaint
Municipal Administration and Water Supply Department (MAWS),Urgent action needed on property tax issue.,Property Tax Issue
Water Resources Department (WRD),"Issue with check dam construction, please resolve.",Check Dam Construction
Welfare of Differently Abled Persons (DIFFABLE),Urgent action needed on maintenance allowance.,Maintenance Allowance
Water Resources Department (WRD),Groundwater Depletion,Groundwater Depletion
Welfare of Differently Abled Persons (DIFFABLE),Report on maintenance allowance.,Maintenance Allowance
Municipal Administration and Water Supply Department (MAWS),Report on road damage.,Road Damage
BC MBC and Minorities Welfare Department (BCMBC),Urgent action needed on narikkuravar welfare board.,Narikkuravar Welfare Board
Welfare of Differently Abled Persons (DIFFABLE),"Issue with disability id card, please resolve.",Disability ID Card
Information Technology Department (IT),IT Park Facilities issue,IT Park Facilities
Public Elections Department (ELECTION),I have a complaint regarding polling booth complaint.,Polling Booth Complaint
Co-operation Food and Consumer Protection Department (FOODCO),I have a complaint regarding weight measurement fraud.,Weight Measurement Fraud
Law Department (LAW),My grievance is about legal aid request.,Legal Aid Request
Municipal Administration and Water Supply Department (MAWS),Report on property tax issue.,Property Tax Issue
Transport Department (TRANS),Please look into this overcrowding in bus matter.,Overcrowding in Bus
Agriculture and Farmers welfares Department (AGRI),We are suffering due to farm machinery subsidy.,Farm Machinery Subsidy
Social Welfare and Women Empowerment Department (SWNM),Please look into this marriage assistance scheme matter.,Marriage Assistance Scheme
Micro Small and Medium Enterprises Department (MSME),Please look into this mudra loan rejection matter.,MUDRA Loan Rejection
Industries Department (IND),Industrial Safety Violation,Industrial Safety Violation
School Education Department (SCHOOL),"Issue with rte seat allotment, please resolve.",RTE Seat Allotment
Higher Education Department (HIGHEDU),Complaint regarding RUSA Fund Utilization,RUSA Fund Utilization
Higher Education Department (HIGHEDU),Urgent action needed on college admission issue.,College Admission Issue
Labour Welfare and Skill Development Department (LBREMP),Urgent action needed on unfair dismissal.,Unfair Dismissal
Water Resources Department (WRD),We are suffering due to water release for farming.,Water Release for Farming
Health and Family Welfare Department (HEALTH),Hospital is very dirty,Sanitation in Hospital
Public Works Department (PWD),My grievance is about lake encroachment.,Lake Encroachment
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Problem faced: cattle feed shortage.,Cattle Feed Shortage
Public Elections Department (ELECTION),My grievance is about electoral roll correction.,Electoral Roll Correction
Housing and Urban Development Department (HUD),Report on slum clearance board tenement.,Slum Clearance Board Tenement
Social Welfare and Women Empowerment Department (SWNM),Complaint against SWNM for widow pension.,Widow Pension
Commercial Taxes and Registration Department (CTREG),Encumbrance Certificate Error issue,Encumbrance Certificate Error
BC MBC and Minorities Welfare Department (BCMBC),We are suffering due to scholarship - bc/mbc.,Scholarship - BC/MBC
Adi Dravidar and Tribal Welfare Department (ADW),We are suffering due to free house site patta - adw.,Free House Site Patta - ADW
Welfare of Differently Abled Persons (DIFFABLE),We are suffering due to maintenance allowance.,Maintenance Allowance
Water Resources Department (WRD),Complaint against WRD for groundwater depletion.,Groundwater Depletion
Higher Education Department (HIGHEDU),Requesting help with professor vacancy.,Professor Vacancy
Information Technology Department (IT),My grievance is about e-sevai centre closed.,e-Sevai Centre Closed
Legislative Assembly Department (LEGIS),Complaint against LEGIS for assembly proceedings query.,Assembly Proceedings Query
Transport Department (TRANS),Conductor refused to give change,Conductor Rude Behavior
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Please look into this powerloom electricity subsidy matter.,Powerloom Electricity Subsidy
Revenue and Disaster Management Department (REV),Urgent action needed on patta / chitta transfer.,Patta / Chitta Transfer
Tourism Culture and Religious Endowments Department (TOURCUL),Urgent action needed on tourist spot facilities.,Tourist Spot Facilities
Information Technology Department (IT),Urgent action needed on e-sevai centre closed.,e-Sevai Centre Closed
Housing and Urban Development Department (HUD),My grievance is about tnhb allotment issue.,TNHB Allotment Issue
Co-operation Food and Consumer Protection Department (FOODCO),Co-operative Loan Issue,Co-operative Loan Issue
Public Elections Department (ELECTION),I have a complaint regarding candidate malpractice.,Candidate Malpractice
Finance Department (FIN),I have a complaint regarding treasury bill pending.,Treasury Bill Pending
School Education Department (SCHOOL),Complaint regarding Teacher Absenteeism,Teacher Absenteeism
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Requesting help with co-optex sales payment.,Co-optex Sales Payment
Municipal Administration and Water Supply Department (MAWS),Problem faced: property tax issue.,Property Tax Issue
Industries Department (IND),Single Window Clearance,Single Window Clearance
Welfare of Differently Abled Persons (DIFFABLE),Report on accessibility in public buildings.,Accessibility in Public Buildings
Tamil Dev. and Information Department (TAMINF),Memorial Maintenance issue,Memorial Maintenance
Tamil Dev. and Information Department (TAMINF),I have a complaint regarding tamil book publication.,Tamil Book Publication
Law Department (LAW),Report on law college admission.,Law College Admission
Rural Development and Panchayat Raj Department (RDPR),Problem faced: village water tank cleaning.,Village Water Tank Cleaning
Revenue and Disaster Management Department (REV),Urgent action needed on cyclone relief not received.,Cyclone Relief Not Received
Legislative Assembly Department (LEGIS),Requesting help with petition to assembly committee.,Petition to Assembly Committee
Youth Welfare and Sports Development Department (YOUTHSP),Urgent action needed on gym equipment.,Gym Equipment
Higher Education Department (HIGHEDU),University Exam Results issue,University Exam Results
Special Programme Implementation (SPI),Requesting help with scheme monitoring.,Scheme Monitoring
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Milk Procurement Price,Milk Procurement Price
Environment Climate Change and Forests Department (ENVFOR),I have a complaint regarding wild animal intrusion.,Wild Animal Intrusion
Public Elections Department (ELECTION),I have a complaint regarding electoral roll correction.,Electoral Roll Correction
Municipal Administration and Water Supply Department (MAWS),Complaint against MAWS for garbage not collected.,Garbage Not Collected
Social Welfare and Women Empowerment Department (SWNM),I have a complaint regarding widow pension.,Widow Pension
Micro Small and Medium Enterprises Department (MSME),I have a complaint regarding industrial shed allotment.,Industrial Shed Allotment
Transport Department (TRANS),Report on rto license delay.,RTO License Delay
Public Works Department (PWD),Urgent action needed on lake encroachment.,Lake Encroachment
Water Resources Department (WRD),I have a complaint regarding river sand mining.,River Sand Mining
Housing and Urban Development Department (HUD),"Issue with rental dispute, please resolve.",Rental Dispute
Adi Dravidar and Tribal Welfare Department (ADW),Problem faced: free house site patta - adw.,Free House Site Patta - ADW
Commercial Taxes and Registration Department (CTREG),Complaint against CTREG for encumbrance certificate error.,Encumbrance Certificate Error
Public Works Department (PWD),Problem faced: govt building maintenance.,Govt Building Maintenance
Rural Development and Panchayat Raj Department (RDPR),Panchayat Tax Issue,Panchayat Tax Issue
Handlooms Handicrafts Textiles and Khadi Department (HHTK),"Issue with powerloom electricity subsidy, please resolve.",Powerloom Electricity Subsidy
Public Department (PUBLIC),Complaint regarding Freedom Fighter Pension,Freedom Fighter Pension
Finance Department (FIN),Requesting help with government employee salary issue.,Government Employee Salary Issue
Micro Small and Medium Enterprises Department (MSME),Report on raw material cost.,Raw Material Cost
Tamil Dev. and Information Department (TAMINF),Complaint regarding Tamil Scholar Pension,Tamil Scholar Pension
Commercial Taxes and Registration Department (CTREG),Please look into this gst return issue matter.,GST Return Issue
Social Welfare and Women Empowerment Department (SWNM),Please look into this child marriage reporting matter.,Child Marriage Reporting
Human Resources Management Department (PAR),Requesting help with transfer/posting request.,Transfer/Posting Request
BC MBC and Minorities Welfare Department (BCMBC),Requesting help with scholarship - bc/mbc.,Scholarship - BC/MBC
Rural Development and Panchayat Raj Department (RDPR),We are suffering due to panchayat tax issue.,Panchayat Tax Issue
Municipal Administration and Water Supply Department (MAWS),"Issue with road damage, please resolve.",Road Damage
Public Works Department (PWD),My grievance is about govt building maintenance.,Govt Building Maintenance
Law Department (LAW),Complaint against LAW for legal aid request.,Legal Aid Request
Public Department (PUBLIC),My grievance is about protocol violation.,Protocol Violation
Micro Small and Medium Enterprises Department (MSME),I have a complaint regarding raw material cost.,Raw Material Cost
Agriculture and Farmers welfares Department (AGRI),Please look into this seed quality issue matter.,Seed Quality Issue
Public Elections Department (ELECTION),Problem faced: electoral roll correction.,Electoral Roll Correction
Rural Development and Panchayat Raj Department (RDPR),My grievance is about panchayat tax issue.,Panchayat Tax Issue
Adi Dravidar and Tribal Welfare Department (ADW),My grievance is about free house site patta - adw.,Free House Site Patta - ADW
Human Resources Management Department (PAR),Requesting help with govt job recruitment scam.,Govt Job Recruitment Scam
Home Prohibition and Excise Department (HOMEEXC),Report on fir registration refusal.,FIR Registration Refusal
Energy Department (ENERGY),Report on meter fault / replacement.,Meter Fault / Replacement
Social Welfare and Women Empowerment Department (SWNM),Working Women Hostel,Working Women Hostel
BC MBC and Minorities Welfare Department (BCMBC),Complaint regarding Scholarship - BC/MBC,Scholarship - BC/MBC
School Education Department (SCHOOL),"Issue with teacher absenteeism, please resolve.",Teacher Absenteeism
School Education Department (SCHOOL),Requesting help with school building dilapidated.,School Building Dilapidated
School Education Department (SCHOOL),Requesting help with mid-day meal scheme.,Mid-day Meal Scheme
Home Prohibition and Excise Department (HOMEEXC),Report on illicit liquor sale.,Illicit Liquor Sale
Agriculture and Farmers welfares Department (AGRI),"Issue with farm machinery subsidy, please resolve.",Farm Machinery Subsidy
Information Technology Department (IT),Complaint against IT for e-sevai centre closed.,e-Sevai Centre Closed
Information Technology Department (IT),Urgent action needed on server down / website crash.,Server Down / Website Crash
Youth Welfare and Sports Development Department (YOUTHSP),My grievance is about gym equipment.,Gym Equipment
Rural Development and Panchayat Raj Department (RDPR),We are suffering due to village water tank cleaning.,Village Water Tank Cleaning
Housing and Urban Development Department (HUD),My grievance is about dtcp approval delay.,DTCP Approval Delay
Welfare of Differently Abled Persons (DIFFABLE),Please look into this special school admission matter.,Special School Admission
Information Technology Department (IT),We are suffering due to government email issue.,Government Email Issue
Housing and Urban Development Department (HUD),TNHB Allotment Issue issue,TNHB Allotment Issue
Finance Department (FIN),I have a complaint regarding gpf/cps settlement.,GPF/CPS Settlement
Home Prohibition and Excise Department (HOMEEXC),Please look into this illicit liquor sale matter.,Illicit Liquor Sale
Housing and Urban Development Department (HUD),Unapproved Layout Plot issue,Unapproved Layout Plot
School Education Department (SCHOOL),My grievance is about school building dilapidated.,School Building Dilapidated
Youth Welfare and Sports Development Department (YOUTHSP),Requesting help with stadium booking.,Stadium Booking
Tamil Dev. and Information Department (TAMINF),My grievance is about tamil book publication.,Tamil Book Publication
Transport Department (TRANS),I have a complaint regarding conductor rude behavior.,Conductor Rude Behavior
Planning Development Department (PLGDEV),Requesting help with sdg goals monitoring.,SDG Goals Monitoring
Micro Small and Medium Enterprises Department (MSME),Problem faced: raw material cost.,Raw Material Cost
Housing and Urban Development Department (HUD),I have a complaint regarding dtcp approval delay.,DTCP Approval Delay
Adi Dravidar and Tribal Welfare Department (ADW),Please look into this community certificate delay matter.,Community Certificate Delay
Home Prohibition and Excise Department (HOMEEXC),Please look into this cyber crime complaint matter.,Cyber Crime Complaint
Agriculture and Farmers welfares Department (AGRI),I have a complaint regarding fertilizer shortage.,Fertilizer Shortage
Water Resources Department (WRD),Please look into this canal encroachment matter.,Canal Encroachment
Tourism Culture and Religious Endowments Department (TOURCUL),"Issue with tourist spot facilities, please resolve.",Tourist Spot Facilities
Tamil Dev. and Information Department (TAMINF),We are suffering due to tamil book publication.,Tamil Book Publication
Adi Dravidar and Tribal Welfare Department (ADW),Report on community certificate delay.,Community Certificate Delay
BC MBC and Minorities Welfare Department (BCMBC),Ulema Pension Scheme,Ulema Pension Scheme
Youth Welfare and Sports Development Department (YOUTHSP),Urgent action needed on stadium booking.,Stadium Booking
BC MBC and Minorities Welfare Department (BCMBC),Urgent action needed on scholarship - bc/mbc.,Scholarship - BC/MBC
Municipal Administration and Water Supply Department (MAWS),My grievance is about pothole patchwork.,Pothole Patchwork
BC MBC and Minorities Welfare Department (BCMBC),"Issue with hostel food quality, please resolve.",Hostel Food Quality
Legislative Assembly Department (LEGIS),Complaint regarding Assembly Proceedings Query,Assembly Proceedings Query
Public Works Department (PWD),Report on dam water release.,Dam Water Release
Youth Welfare and Sports Development Department (YOUTHSP),Stadium Booking issue,Stadium Booking
Human Resources Management Department (PAR),I have a complaint regarding disciplinary action appeal.,Disciplinary Action Appeal
Industries Department (IND),Report on factory closure notice.,Factory Closure Notice
Law Department (LAW),Requesting help with legal aid request.,Legal Aid Request
Industries Department (IND),I have a complaint regarding single window clearance.,Single Window Clearance
Social Welfare and Women Empowerment Department (SWNM),Working Women Hostel issue,Working Women Hostel
Welfare of Differently Abled Persons (DIFFABLE),Complaint regarding Disability ID Card,Disability ID Card
Municipal Administration and Water Supply Department (MAWS),Road Damage issue,Road Damage
Health and Family Welfare Department (HEALTH),My grievance is about medicine shortage.,Medicine Shortage
Finance Department (FIN),My grievance is about gpf/cps settlement.,GPF/CPS Settlement
Human Resources Management Department (PAR),My grievance is about govt job recruitment scam.,Govt Job Recruitment Scam
Adi Dravidar and Tribal Welfare Department (ADW),Community Certificate Delay issue,Community Certificate Delay
Transport Department (TRANS),Bus Not Stopping,Bus Not Stopping
Public Department (PUBLIC),I have a complaint regarding chief minister's special cell.,Chief Minister's Special Cell
Public Works Department (PWD),My grievance is about pwd guest house booking.,PWD Guest House Booking
Tourism Culture and Religious Endowments Department (TOURCUL),Hotel Registration,Hotel Registration
Energy Department (ENERGY),Report on frequent power cuts.,Frequent Power Cuts
Labour Welfare and Skill Development Department (LBREMP),Report on pf claim settlement.,PF Claim Settlement
Municipal Administration and Water Supply Department (MAWS),Complaint against MAWS for drainage blockage.,Drainage Blockage
Health and Family Welfare Department (HEALTH),Requesting help with 108 ambulance delay.,108 Ambulance Delay
BC MBC and Minorities Welfare Department (BCMBC),Free Tools Scheme issue,Free Tools Scheme
Agriculture and Farmers welfares Department (AGRI),Urgent action needed on pest attack support.,Pest Attack Support
Micro Small and Medium Enterprises Department (MSME),Raw Material Cost issue,Raw Material Cost
Micro Small and Medium Enterprises Department (MSME),"Issue with raw material cost, please resolve.",Raw Material Cost
Public Elections Department (ELECTION),"Issue with name missing in voter list, please resolve.",Name Missing in Voter List
Environment Climate Change and Forests Department (ENVFOR),Please look into this plastic waste ban violation matter.,Plastic Waste Ban Violation
Revenue and Disaster Management Department (REV),Land Survey Request issue,Land Survey Request
Welfare of Differently Abled Persons (DIFFABLE),Urgent action needed on special school admission.,Special School Admission
Revenue and Disaster Management Department (REV),"Issue with cyclone relief not received, please resolve.",Cyclone Relief Not Received
Industries Department (IND),We are suffering due to industrial subsidy delay.,Industrial Subsidy Delay
School Education Department (SCHOOL),Please look into this mid-day meal scheme matter.,Mid-day Meal Scheme
Youth Welfare and Sports Development Department (YOUTHSP),We are suffering due to gym equipment.,Gym Equipment
Adi Dravidar and Tribal Welfare Department (ADW),Please look into this scholarship issue - adw matter.,Scholarship Issue - ADW
Public Elections Department (ELECTION),Complaint against ELECTION for name missing in voter list.,Name Missing in Voter List
Adi Dravidar and Tribal Welfare Department (ADW),Scholarship Issue - ADW,Scholarship Issue - ADW
Special Programme Implementation (SPI),Report on flagship project delay.,Flagship Project Delay
Rural Development and Panchayat Raj Department (RDPR),Please look into this village road damaged matter.,Village Road Damaged
Home Prohibition and Excise Department (HOMEEXC),Illicit Liquor Sale issue,Illicit Liquor Sale
Environment Climate Change and Forests Department (ENVFOR),Requesting help with forest fire reporting.,Forest Fire Reporting
Industries Department (IND),Complaint against IND for factory closure notice.,Factory Closure Notice
School Education Department (SCHOOL),Report on school admission denied.,School Admission Denied
Welfare of Differently Abled Persons (DIFFABLE),My grievance is about accessibility in public buildings.,Accessibility in Public Buildings
Micro Small and Medium Enterprises Department (MSME),Requesting help with udyam registration error.,Udyam Registration Error
Municipal Administration and Water Supply Department (MAWS),No water supply in my house,No Water Supply
Water Resources Department (WRD),Canal Encroachment issue,Canal Encroachment
Welfare of Differently Abled Persons (DIFFABLE),Accessibility in Public Buildings issue,Accessibility in Public Buildings
Co-operation Food and Consumer Protection Department (FOODCO),We are suffering due to weight measurement fraud.,Weight Measurement Fraud
Housing and Urban Development Department (HUD),Urgent action needed on unapproved layout plot.,Unapproved Layout Plot
Commercial Taxes and Registration Department (CTREG),Please look into this guide value query matter.,Guide Value Query
Rural Development and Panchayat Raj Department (RDPR),We are suffering due to nrega wages pending.,NREGA Wages Pending
Agriculture and Farmers welfares Department (AGRI),My grievance is about farm machinery subsidy.,Farm Machinery Subsidy
Planning Development Department (PLGDEV),District Development Plan issue,District Development Plan
Environment Climate Change and Forests Department (ENVFOR),Urgent action needed on forest fire reporting.,Forest Fire Reporting
Planning Development Department (PLGDEV),Please look into this district development plan matter.,District Development Plan
Health and Family Welfare Department (HEALTH),Requesting help with doctor absent in gh.,Doctor Absent in GH
Public Department (PUBLIC),Urgent action needed on ex-servicemen welfare.,Ex-Servicemen Welfare
Public Elections Department (ELECTION),We are suffering due to electoral roll correction.,Electoral Roll Correction
Public Department (PUBLIC),Protocol Violation,Protocol Violation
Agriculture and Farmers welfares Department (AGRI),Report on seed quality issue.,Seed Quality Issue
Industries Department (IND),Urgent action needed on single window clearance.,Single Window Clearance
Public Department (PUBLIC),Report on freedom fighter pension.,Freedom Fighter Pension
Industries Department (IND),Please look into this single window clearance matter.,Single Window Clearance
Finance Department (FIN),Complaint against FIN for gpf/cps settlement.,GPF/CPS Settlement
Commercial Taxes and Registration Department (CTREG),We are suffering due to encumbrance certificate error.,Encumbrance Certificate Error
Adi Dravidar and Tribal Welfare Department (ADW),Requesting help with hostel facility - adw.,Hostel Facility - ADW
Public Elections Department (ELECTION),Name Missing in Voter List issue,Name Missing in Voter List
Public Works Department (PWD),Complaint against PWD for lake encroachment.,Lake Encroachment
Rural Development and Panchayat Raj Department (RDPR),"Issue with gram sabha meeting, please resolve.",Gram Sabha Meeting
Highways and Minor Ports Department (HWY),Report on bridge construction delay.,Bridge Construction Delay
Water Resources Department (WRD),Urgent action needed on check dam construction.,Check Dam Construction
Housing and Urban Development Department (HUD),Please look into this unapproved layout plot matter.,Unapproved Layout Plot
Legislative Assembly Department (LEGIS),Problem faced: petition to assembly committee.,Petition to Assembly Committee
Home Prohibition and Excise Department (HOMEEXC),My grievance is about police inaction.,Police Inaction
Labour Welfare and Skill Development Department (LBREMP),Please look into this minimum wages violation matter.,Minimum Wages Violation
Law Department (LAW),Please look into this government pleader issue matter.,Government Pleader Issue
Public Works Department (PWD),Urgent action needed on dam water release.,Dam Water Release
Commercial Taxes and Registration Department (CTREG),Complaint against CTREG for property registration delay.,Property Registration Delay
Social Welfare and Women Empowerment Department (SWNM),Complaint against SWNM for working women hostel.,Working Women Hostel
Labour Welfare and Skill Development Department (LBREMP),My grievance is about unfair dismissal.,Unfair Dismissal
Adi Dravidar and Tribal Welfare Department (ADW),"Issue with atrocities on sc/st, please resolve.",Atrocities on SC/ST
Information Technology Department (IT),We are suffering due to broadband connectivity infrastructure.,Broadband Connectivity Infrastructure
Social Welfare and Women Empowerment Department (SWNM),My grievance is about child marriage reporting.,Child Marriage Reporting
Revenue and Disaster Management Department (REV),Requesting help with land survey request.,Land Survey Request
Municipal Administration and Water Supply Department (MAWS),My grievance is about road damage.,Road Damage
Highways and Minor Ports Department (HWY),Road is full of potholes,State Highway Potholes
Public Department (PUBLIC),"Issue with law and order general, please resolve.",Law and Order General
Public Works Department (PWD),"Issue with lake encroachment, please resolve.",Lake Encroachment
Agriculture and Farmers welfares Department (AGRI),Requesting help with fertilizer shortage.,Fertilizer Shortage
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),I have a complaint regarding boat diesel subsidy.,Boat Diesel Subsidy
Special Programme Implementation (SPI),Urgent action needed on announcement implementation.,Announcement Implementation
Revenue and Disaster Management Department (REV),Complaint regarding Land Survey Request,Land Survey Request
Law Department (LAW),Please look into this law college admission matter.,Law College Admission
